Projekt Aerodynamik Übung CPM3
P_amb in [Pa]:  102415 T_amb in [K]: 297
Channel 1-3 HCL Druckdaten [V] 
3,232	3,262	3,245
3,232	3,262	3,249
3,229	3,262	3,248
3,234	3,259	3,245
3,224	3,266	3,246
3,228	3,259	3,249
3,223	3,262	3,249
3,224	3,262	3,240
3,230	3,269	3,248
3,232	3,264	3,248
3,234	3,261	3,247
3,234	3,264	3,249
3,227	3,264	3,245
3,232	3,265	3,248
3,233	3,262	3,245
3,234	3,269	3,243
3,223	3,259	3,247
3,232	3,264	3,242
3,229	3,262	3,248
3,232	3,262	3,248
3,227	3,261	3,248
3,232	3,261	3,248
3,232	3,255	3,243
3,230	3,260	3,241
3,232	3,263	3,247
3,228	3,265	3,245
3,227	3,267	3,248
3,235	3,259	3,243
3,232	3,262	3,238
3,231	3,264	3,252
3,231	3,262	3,245
3,230	3,267	3,247
3,232	3,262	3,248
3,232	3,263	3,240
3,229	3,256	3,244
3,232	3,263	3,247
3,232	3,262	3,240
3,227	3,262	3,248
3,229	3,262	3,248
3,234	3,265	3,247
3,232	3,264	3,249
3,232	3,267	3,245
3,228	3,262	3,248
3,232	3,260	3,248
3,232	3,267	3,242
3,232	3,261	3,247
3,232	3,264	3,245
3,229	3,265	3,248
3,227	3,260	3,245
3,231	3,260	3,248
3,232	3,259	3,243
3,229	3,259	3,245
3,230	3,260	3,240
3,229	3,262	3,245
3,231	3,264	3,245
3,232	3,259	3,245
3,229	3,265	3,242
3,232	3,264	3,238
3,232	3,256	3,242
3,232	3,264	3,243
3,225	3,265	3,248
3,224	3,265	3,247
3,230	3,267	3,247
3,232	3,267	3,241
3,233	3,267	3,248
3,224	3,262	3,247
3,230	3,265	3,248
3,227	3,262	3,248
3,230	3,267	3,242
3,231	3,267	3,241
3,230	3,266	3,247
3,229	3,262	3,244
3,232	3,263	3,248
3,230	3,267	3,248
3,236	3,267	3,250
3,232	3,267	3,246
3,232	3,258	3,248
3,232	3,264	3,247
3,231	3,263	3,248
3,230	3,260	3,234
